name,value,year,lastValue,rank
10 Социальная защита,193567301.98000002,2005.0,191098707.8,306
04 Экономические вопросы,274879287.5500001,2005.0,265475670.5000001,307
03 Общественный порядок и безопасность,330307098.82,2005.0,324636947.5,308
02 Оборона,347573790.98,2005.0,342529891.6,309
01 Государственные службы общего назначения,1776568961.31,2005.0,1741076838.5,310
05 Охрана окружающей среды,5171934.999999999,2005.1,4966378.249999999,311
06 Жилищные и коммунальные услуги,19256218.959999997,2005.1,15101312.779999997,312
"08 Отдых, культура и религия",49677017.90000001,2005.1,48930655.65000001,313
07 Здравоохранение,102473217.66000001,2005.1,95979119.13000001,314
09 Образование,165408304.32,2005.1,160208653.86,315
10 Социальная защита,196035896.16,2005.1,193567301.98000002,316
04 Экономические вопросы,284282904.6000001,2005.1,274879287.5500001,317
03 Общественный порядок и безопасность,335977250.14,2005.1,330307098.82,318
02 Оборона,352617690.36,2005.1,347573790.98,319
01 Государственные службы общего назначения,1812061084.12,2005.1,1776568961.31,320
05 Охрана окружающей среды,5377491.749999999,2005.2,5171934.999999999,321
06 Жилищные и коммунальные услуги,23411125.139999993,2005.2,19256218.959999997,322
"08 Отдых, культура и религия",50423380.15000001,2005.2,49677017.90000001,323
07 Здравоохранение,108967316.19,2005.2,102473217.66000001,324
09 Образование,170607954.78,2005.2,165408304.32,325
10 Социальная защита,198504490.34,2005.2,196035896.16,326
04 Экономические вопросы,293686521.6500001,2005.2,284282904.6000001,327
03 Общественный порядок и безопасность,341647401.46,2005.2,335977250.14,328
02 Оборона,357661589.74,2005.2,352617690.36,329
01 Государственные службы общего назначения,1847553206.93,2005.2,1812061084.12,330
05 Охрана окружающей среды,5583048.499999999,2005.3,5377491.749999999,331
06 Жилищные и коммунальные услуги,27566031.319999993,2005.3,23411125.139999993,332
"08 Отдых, культура и религия",51169742.40000001,2005.3,50423380.15000001,333
07 Здравоохранение,115461414.72,2005.3,108967316.19,334
09 Образование,175807605.24,2005.3,170607954.78,335
10 Социальная защита,200973084.52,2005.3,198504490.34,336
04 Экономические вопросы,303090138.70000005,2005.3,293686521.6500001,337
03 Общественный порядок и безопасность,347317552.78,2005.3,341647401.46,338
02 Оборона,362705489.12,2005.3,357661589.74,339
01 Государственные службы общего назначения,1883045329.74,2005.3,1847553206.93,340
05 Охрана окружающей среды,5788605.25,2005.4,5583048.499999999,341
06 Жилищные и коммунальные услуги,31720937.499999993,2005.4,27566031.319999993,342
"08 Отдых, культура и религия",51916104.65000001,2005.4,51169742.40000001,343
07 Здравоохранение,121955513.25,2005.4,115461414.72,344
09 Образование,181007255.7,2005.4,175807605.24,345
10 Социальная защита,203441678.7,2005.4,200973084.52,346
04 Экономические вопросы,312493755.75000006,2005.4,303090138.70000005,347
03 Общественный порядок и безопасность,352987704.1,2005.4,347317552.78,348
02 Оборона,367749388.5,2005.4,362705489.12,349
01 Государственные службы общего назначения,1918537452.55,2005.4,1883045329.74,350
05 Охрана окружающей среды,5994162.0,2005.5,5788605.25,351
06 Жилищные и коммунальные услуги,35875843.67999999,2005.5,31720937.499999993,352
"08 Отдых, культура и религия",52662466.90000001,2005.5,51916104.65000001,353
07 Здравоохранение,128449611.78,2005.5,121955513.25,354
09 Образование,186206906.16,2005.5,181007255.7,355
10 Социальная защита,205910272.88,2005.5,203441678.7,356
04 Экономические вопросы,321897372.8000001,2005.5,312493755.75000006,357
03 Общественный порядок и безопасность,358657855.41999996,2005.5,352987704.1,358
02 Оборона,372793287.88,2005.5,367749388.5,359
01 Государственные службы общего назначения,1954029575.36,2005.5,1918537452.55,360
05 Охрана окружающей среды,6199718.75,2005.6,5994162.0,361
06 Жилищные и коммунальные услуги,40030749.85999999,2005.6,35875843.67999999,362
"08 Отдых, культура и религия",53408829.15000001,2005.6,52662466.90000001,363
07 Здравоохранение,134943710.31,2005.6,128449611.78,364
09 Образование,191406556.62,2005.6,186206906.16,365
10 Социальная защита,208378867.06,2005.6,205910272.88,366
04 Экономические вопросы,331300989.85,2005.6,321897372.8000001,367
03 Общественный порядок и безопасность,364328006.74,2005.6,358657855.41999996,368
02 Оборона,377837187.26,2005.6,372793287.88,369
01 Государственные службы общего назначения,1989521698.1699998,2005.6,1954029575.36,370
05 Охрана окружающей среды,6405275.5,2005.7,6199718.75,371
06 Жилищные и коммунальные услуги,44185656.03999999,2005.7,40030749.85999999,372
"08 Отдых, культура и религия",54155191.40000001,2005.7,53408829.15000001,373
07 Здравоохранение,141437808.84,2005.7,134943710.31,374
09 Образование,196606207.07999998,2005.7,191406556.62,375
10 Социальная защита,210847461.24,2005.7,208378867.06,376
04 Экономические вопросы,340704606.90000004,2005.7,331300989.85,377
03 Общественный порядок и безопасность,369998158.06,2005.7,364328006.74,378
02 Оборона,382881086.64,2005.7,377837187.26,379
01 Государственные службы общего назначения,2025013820.98,2005.7,1989521698.1699998,380
05 Охрана окружающей среды,6610832.25,2005.8,6405275.5,381
06 Жилищные и коммунальные услуги,48340562.21999999,2005.8,44185656.03999999,382
"08 Отдых, культура и религия",54901553.65000001,2005.8,54155191.40000001,383
07 Здравоохранение,147931907.37,2005.8,141437808.84,384
09 Образование,201805857.54,2005.8,196606207.07999998,385
10 Социальная защита,213316055.42,2005.8,210847461.24,386
04 Экономические вопросы,350108223.95000005,2005.8,340704606.90000004,387
03 Общественный порядок и безопасность,375668309.38,2005.8,369998158.06,388
02 Оборона,387924986.02,2005.8,382881086.64,389
01 Государственные службы общего назначения,2060505943.79,2005.8,2025013820.98,390
05 Охрана окружающей среды,6816389.0,2005.9,6610832.25,391
06 Жилищные и коммунальные услуги,52495468.39999999,2005.9,48340562.21999999,392
"08 Отдых, культура и религия",55647915.90000001,2005.9,54901553.65000001,393
07 Здравоохранение,154426005.9,2005.9,147931907.37,394
09 Образование,207005508.0,2005.9,201805857.54,395
10 Социальная защита,215784649.6,2005.9,213316055.42,396
04 Экономические вопросы,359511841.0,2005.9,350108223.95000005,397
03 Общественный порядок и безопасность,381338460.7,2005.9,375668309.38,398
02 Оборона,392968885.4,2005.9,387924986.02,399
01 Государственные службы общего назначения,2095998066.6,2005.9,2060505943.79,400
05 Охрана окружающей среды,6962904.75,2006.0,6816389.0,401
"08 Отдых, культура и религия",57188337.06000001,2006.0,55647915.90000001,402
06 Жилищные и коммунальные услуги,76681109.27,2006.0,52495468.39999999,403
07 Здравоохранение,166068252.59,2006.0,154426005.9,404
09 Образование,214735818.26000002,2006.0,207005508.0,405
10 Социальная защита,222497220.62,2006.0,215784649.6,406
03 Общественный порядок и безопасность,389853554.4,2006.0,381338460.7,407
02 Оборона,399641148.58,2006.0,392968885.4,408
04 Экономические вопросы,400056027.71999997,2006.0,359511841.0,409
01 Государственные службы общего назначения,2182187742.66,2006.0,2095998066.6,410
05 Охрана окружающей среды,7109420.5,2006.1,6962904.75,411
"08 Отдых, культура и религия",58728758.220000006,2006.1,57188337.06000001,412
06 Жилищные и коммунальные услуги,100866750.14,2006.1,76681109.27,413
07 Здравоохранение,177710499.28,2006.1,166068252.59,414
09 Образование,222466128.52,2006.1,214735818.26000002,415
10 Социальная защита,229209791.64,2006.1,222497220.62,416
03 Общественный порядок и безопасность,398368648.09999996,2006.1,389853554.4,417
02 Оборона,406313411.76,2006.1,399641148.58,418
04 Экономические вопросы,440600214.44,2006.1,400056027.71999997,419
01 Государственные службы общего назначения,2268377418.72,2006.1,2182187742.66,420
05 Охрана окружающей среды,7255936.25,2006.2,7109420.5,421
"08 Отдых, культура и религия",60269179.38,2006.2,58728758.220000006,422
06 Жилищные и коммунальные услуги,125052391.01,2006.2,100866750.14,423
07 Здравоохранение,189352745.97000003,2006.2,177710499.28,424
09 Образование,230196438.78000003,2006.2,222466128.52,425
10 Социальная защита,235922362.66,2006.2,229209791.64,426
03 Общественный порядок и безопасность,406883741.79999995,2006.2,398368648.09999996,427
02 Оборона,412985674.94,2006.2,406313411.76,428
04 Экономические вопросы,481144401.15999997,2006.2,440600214.44,429
